Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
122,Michael Davis,LAC,25,LCB/RCB,16,14,3,104,63,60.60%,724,11.5,7,3,79.2,12,566,158,2,0,0,0,0,64,9,12.30%,DaviMi03
123,Tashaun Gipson,CHI,30,SS,16,16,2,44,28,63.60%,336,12,7.6,3,90.7,11.9,245,91,6,0,0,0,0,66,3,4.30%,GipsTa00
124,Micah Hyde,BUF,30,FS,15,15,1,22,14,63.60%,163,11.6,7.4,1,82.2,7.5,106,57,15,0,0,0,0,70,8,10.30%,HydeMi00
125,Tyrann Mathieu*+,KAN,28,SS/RLB,15,15,6,67,42,62.70%,535,12.7,8,2,60.2,9.3,270,265,31,2,1,0,3,62,8,11.40%,MathTy00
126,Donovan Wilson,DAL,25,SS,14,10,2,24,16,66.70%,213,13.3,8.9,2,87.7,12.2,171,42,8,0,0,3.5,5,71,4,5.30%,WilsDo01
127,Xavier Woods,DAL,25,FS,15,15,0,29,23,79.30%,250,10.9,8.6,3,137.1,9.5,167,83,12,1,1,0,2,72,6,7.70%,WoodXa00
128,Ugo Amadi,SEA,23,DB,14,5,0,63,46,73.00%,361,7.8,5.7,0,86.8,5.3,143,218,22,0,0,0,0,54,4,6.90%,AmadUg00
129,Nevin Lawson,LVR,29,RCB,14,9,0,67,45,67.20%,483,10.7,7.2,5,113,9.2,327,156,2,0,0,1,1,61,3,4.70%,LawsNe00
130,Julian Love,NYG,22,DB,16,6,1,31,22,71.00%,299,13.6,9.6,2,109.5,11.5,226,73,4,0,0,0,0,64,5,7.20%,LoveJu00
131,Eric Murray,HOU,26,FS,14,14,0,70,56,80.00%,659,11.8,9.4,6,134.5,7.1,288,371,36,3,2,2,7,71,12,14.50%,MurrEr00
132,Vince Williams,PIT,31,RILB,14,14,0,35,22,62.90%,146,6.6,4.2,2,90.9,6.1,81,65,47,2,1,3,6,70,12,14.60%,WillVi01
133,Terrell Edmunds,PIT,23,SS,15,12,2,45,25,55.60%,362,14.5,8,1,70.8,10.1,248,114,35,1,0,1,2,68,6,8.10%,EdmuTe00
134,Karl Joseph,CLE,27,SS,14,8,1,36,22,61.10%,264,12,7.3,7,111.6,9.8,186,78,9,2,0,0,2,67,12,15.20%,JoseKa00
135,Christian Kirksey,GNB,28,LILB,11,11,2,43,31,72.10%,282,9.1,6.6,6,109.7,4.6,87,195,18,0,0,2,2,77,9,10.50%,KirkCh00
136,Harold Landry,TEN,24,ROLB,16,16,1,18,15,83.30%,80,5.3,4.4,0,62,3.8,34,46,86,18,10,5.5,34,69,11,13.80%,LandHa00
137,Marcus Peters,BAL,27,RCB,14,14,4,86,55,64.00%,627,11.4,7.3,3,78,10.4,382,245,4,0,0,1,1,52,14,21.20%,PeteMa00
138,D.J. Reed,SEA,24,RCB,10,8,2,59,38,64.40%,404,10.6,6.8,1,75.8,9.3,302,102,9,1,0,0,1,62,2,3.10%,ReedD.00
